--------------------------------------------------------------------------------
JobId          : qinlab-0-636903f5
Name           : ligprep_1
Program        : LigPrep
MMshareExec    : /opt/schrodinger2017-4/./mmshare-v4.0/bin/Linux-x86_64
Host           : qinlab
Dir            : /home/admin/@Z_H/dock_11.7/5zty/ligprep_1
HostEntry      : localhost
JobHost        : qinlab
JobDir         : /scratch/qinlab/ligprep_1
JobMMshareExec : /opt/schrodinger2017-4/mmshare-v4.0/bin/Linux-x86_64
Commandline    : /opt/schrodinger2017-4/./ligprep -inp ligprep_1.inp -HOST localhost:36 -NJOBS 1 -PROJ /home/qinlab/.schrodinger/tmp/tproj47400a545988 -DISP append -VIEWNAME ligprep_gui.LigPrepPanel -TMPLAUNCHDIR -ATTACHED
StartTime      : 2022-11-07-21:11:18
--------------------------------------------------------------------------------
LigPrep: preparing subjobs

Running subjobs on hosts:
  localhost (Max: 36)
Number of jobs:       1
Max retries per job:  2
Max allowed failures: unlimited
Run with -LOCAL:      False
Verbosity:            normal

Starting JobDJ...

Keep one job on driver host: False
JobDJ columns:
  C: Number of completed subjobs
  A: Number of active subjobs (e.g., submitted, running)
  W: Number of waiting/pending subjobs

C A W | Activity  JobId  JobName  JobHost
- - - | --------- -----------------------
0 1 0 | launched  qinlab-0-636903f7 ligprep_1-1 localhost [qinlab]
1 0 0 | finished  qinlab-0-636903f7 ligprep_1-1 localhost [qinlab]

All jobs have completed.

1 of 1 job(s) succeeded; 0 job(s) failed.

--------------------------------------------------------------------------------
SUBJOB:  ligprep_1-1 

--------------------------------------------------------------------------------
 JobId          : qinlab-0-636903f7
 Name           : ligprep_1-1
 Program        : LigPrep
 MMshareExec    : /opt/schrodinger2017-4/mmshare-v4.0/bin/Linux-x86_64
 Host           : qinlab
 Dir            : /scratch/qinlab/ligprep_1
 HostEntry      : localhost
 JobHost        : qinlab
 JobDir         : /scratch/qinlab/ligprep_1-1
 JobMMshareExec : /opt/schrodinger2017-4/mmshare-v4.0/bin/Linux-x86_64
 Commandline    : /opt/schrodinger2017-4/ligprep -bff 16 -epik -s 32 -orig_file ligprep_1.sdf -orig_file_index 1 -isd in_ligprep_1-1.sdf -omae ligprep_1-1.maegz -HOST localhost
 StartTime      : 2022-11-07-21:11:19
 --------------------------------------------------------------------------------
 LigPrep (version 44011). Copyright Schrodinger, LLC. All rights reserved.
 
 LigPrep command:
 $SCHRODINGER/ligprep -bff 16 -epik -s 32 -orig_file ligprep_1.sdf -orig_file_index 1 -isd in_ligprep_1-1.sdf -omae ligprep_1-1.maegz
 
 Processing steps:
 $DO/sdconvert_in.pyc -bad -orig_file_index 0 -orig_file ligprep_1.sdf in_ligprep_1-1.sdf
 $DO/sdstereoexpander.pyc -max_output 32 -max_generated 1024 <infile.mae> <outfile.mae>
 $DO/htreat.pyc -t All-None -a all -s -l 200 <infile.mae> <outfile.mae>
 $DO/desalter.pyc <infile.mae> <outfile.mae>
 $DO/neutralizer.pyc -m 200 <infile.mae> <outfile.mae>
 $DO/epik.pyc -ph 7.0 -tn 8 -ma 200 -imae <infile.mae> -omae <outfile.mae>
 $DO/guard.pyc <infile.mae> <outfile.mae>
 $DO/stereoizer.pyc -label_specified_chiralities -n 32 <infile.mae> <outfile.mae>
 $DO/cgx.pyc -optimize -ffld 16 -epsilon 10.0 <infile.mae> <outfile.mae>
 
 DO=$SCHRODINGER/run -FROM macromodel ../../lib/Linux-x86_64/python_packages/ligprep3/
 
 # counts of output and dropped structures after processing steps
 # index  sdstex  htreat  desalt  neutra   epik    guard  stereo    cgx   title
 WARNING: entry #1: empty title, assigning generic 'ligprep_1.sdf:1'.
       75   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:75'
       76   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:76'
       77   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:77'
       78   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:78'
       79   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:79'
       80   4/0     4/0     4/0     4/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:80'
       81   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:81'
       82   4/0     4/0     4/0     4/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:82'
       83   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:83'
       84   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:84'
       85   8/0     8/0     8/0     8/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:85'
       86   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:86'
       87   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:87'
       88   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:88'
       89   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:89'
       90   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:90'
       91   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:91'
       92   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:92'
       93   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:93'
       94   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:94'
       95   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:95'
       96   4/0     4/0     4/0     4/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:96'
       97   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:97'
       98   4/0     4/0     4/0     4/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:98'
       99   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:99'
      100   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:100'
 # counts of output and dropped structures after processing steps
 # index  sdstex  htreat  desalt  neutra   epik    guard  stereo    cgx   title
      101   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:101'
      102   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:102'
      103   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:103'
      104   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:104'
      105   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:105'
      106   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:106'
      107   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:107'
      108   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:108'
      109   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:109'
      110   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:110'
      111   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:111'
      112   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:112'
      113   2/0     2/0     2/0     2/0     6/0     6/0     6/0     6/0   'ligprep_1.sdf:113'
      114   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:114'
      115   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:115'
      116   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:116'
      117   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:117'
      118   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:118'
      119   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:119'
      120   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:120'
      121   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:121'
      122   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:122'
      123   4/0     4/0     4/0     4/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:123'
      124   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:124'
      125   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:125'
      126   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:126'
      127   4/0     4/0     4/0     4/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:127'
      128   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:128'
      129   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:129'
      130   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:130'
      131   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:131'
      132   4/0     4/0     4/0     4/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:132'
      133   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:133'
      134   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:134'
      135   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:135'
      136   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:136'
      137   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:137'
      138   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:138'
      139   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:139'
      140   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:140'
      141   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:141'
      142   8/0     8/0     8/0     8/0    16/0    16/0    16/0    16/0   'ligprep_1.sdf:142'
      143   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:143'
      144   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:144'
      145   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:145'
      146   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:146'
      147   4/0     4/0     4/0     4/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:147'
      148   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:148'
      149   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:149'
      150   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:150'
 # counts of output and dropped structures after processing steps
 # index  sdstex  htreat  desalt  neutra   epik    guard  stereo    cgx   title
      151   1/0     1/0     1/0     1/0     3/0     3/0     3/0     3/0   'ligprep_1.sdf:151'
      152   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:152'
      153   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:153'
 WARNING mmlewis warning: Wrong Lewis structure in structure input file
 mmlewis warning: with title: ligprep_1.sdf:154
 mmlewis warning: Problems were identified with the following atoms:
 mmlewis warning:  10 18 
 mmlewis warning: Now attempting to fix the lewis structure.
 WARNING mmlewis warning: A valid lewis structure was successfully generated.
 WARNING mmlewis warning: Wrong Lewis structure in structure input file
 mmlewis warning: with title: ligprep_1.sdf:154
 mmlewis warning: Problems were identified with the following atoms:
 mmlewis warning:  10 18 
 mmlewis warning: Now attempting to fix the lewis structure.
 WARNING mmlewis warning: A valid lewis structure was successfully generated.
 WARNING mmlewis warning: Wrong Lewis structure in structure input file
 mmlewis warning: with title: ligprep_1.sdf:154
 mmlewis warning: Problems were identified with the following atoms:
 mmlewis warning:  10 18 
 mmlewis warning: Now attempting to fix the lewis structure.
 WARNING mmlewis warning: A valid lewis structure was successfully generated.
 WARNING mmlewis warning: Wrong Lewis structure in structure input file
 mmlewis warning: with title: ligprep_1.sdf:154
 mmlewis warning: Problems were identified with the following atoms:
 mmlewis warning:  10 18 
 mmlewis warning: Now attempting to fix the lewis structure.
 WARNING mmlewis warning: A valid lewis structure was successfully generated.
 WARNING mmlewis warning: Wrong Lewis structure in structure input file
 mmlewis warning: with title: ligprep_1.sdf:154
 mmlewis warning: Problems were identified with the following atoms:
 mmlewis warning:  10 18 
 mmlewis warning: Now attempting to fix the lewis structure.
 WARNING mmlewis warning: A valid lewis structure was successfully generated.
 WARNING mmlewis warning: Wrong Lewis structure in structure input file
 mmlewis warning: with title: ligprep_1.sdf:154
 mmlewis warning: Problems were identified with the following atoms:
 mmlewis warning:  10 18 
 mmlewis warning: Now attempting to fix the lewis structure.
 WARNING mmlewis warning: A valid lewis structure was successfully generated.
 WARNING mmlewis warning: Wrong Lewis structure in structure input file
 mmlewis warning: with title: ligprep_1.sdf:154
 mmlewis warning: Problems were identified with the following atoms:
 mmlewis warning:  10 18 
 mmlewis warning: Now attempting to fix the lewis structure.
 WARNING mmlewis warning: A valid lewis structure was successfully generated.
 WARNING mmlewis warning: Wrong Lewis structure in structure input file
 mmlewis warning: with title: ligprep_1.sdf:154
 mmlewis warning: Problems were identified with the following atoms:
 mmlewis warning:  10 18 
 mmlewis warning: Now attempting to fix the lewis structure.
 WARNING mmlewis warning: A valid lewis structure was successfully generated.
 WARNING mmlewis warning: Wrong Lewis structure in structure input file
 mmlewis warning: with title: ligprep_1.sdf:154
 mmlewis warning: Problems were identified with the following atoms:
 mmlewis warning:  10 18 
 mmlewis warning: Now attempting to fix the lewis structure.
 WARNING mmlewis warning: A valid lewis structure was successfully generated.
 WARNING mmlewis warning: Wrong Lewis structure in structure input file
 mmlewis warning: with title: ligprep_1.sdf:154
 mmlewis warning: Problems were identified with the following atoms:
 mmlewis warning:  10 18 
 mmlewis warning: Now attempting to fix the lewis structure.
 WARNING mmlewis warning: A valid lewis structure was successfully generated.
 WARNING mmlewis warning: Wrong Lewis structure in structure input file
 mmlewis warning: with title: ligprep_1.sdf:154
 mmlewis warning: Problems were identified with the following atoms:
 mmlewis warning:  10 18 
 mmlewis warning: Now attempting to fix the lewis structure.
 WARNING mmlewis warning: A valid lewis structure was successfully generated.
 WARNING mmlewis warning: Wrong Lewis structure in structure input file
 mmlewis warning: with title: ligprep_1.sdf:154
 mmlewis warning: Problems were identified with the following atoms:
 mmlewis warning:  10 18 
 mmlewis warning: Now attempting to fix the lewis structure.
 WARNING mmlewis warning: A valid lewis structure was successfully generated.
      154   1/0     1/0     1/0     1/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:154'
      155   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:155'
      156   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:156'
      157   2/0     2/0     2/0     2/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:157'
      158   4/0     4/0     4/0     4/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:158'
      159   1/0     1/0     1/0     1/0     2/0     2/0     3/0     3/0   'ligprep_1.sdf:159'
      160   2/0     2/0     2/0     2/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:160'
      161   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:161'
      162   4/0     4/0     4/0     4/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:162'
      163   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:163'
      164   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:164'
      165   1/0     1/0     1/0     1/0     2/0     2/0     2/0     2/0   'ligprep_1.sdf:165'
      166   4/0     4/0     4/0     4/0     8/0     8/0     8/0     8/0   'ligprep_1.sdf:166'
      167   4/0     4/0     4/0     4/0     4/0     4/0     4/0     4/0   'ligprep_1.sdf:167'
      168   1/0     1/0     1/0     1/0     1/0     1/0     1/0     1/0   'ligprep_1.sdf:168'
